"x","y","z"
-10,6.24863334014561,"A"
-9.99,7.27387711855344,"A"
-9.98,3.88961665259245,"A"
-9.97,5.41811158939109,"A"
-9.96,6.2804144975585,"A"
-9.95,3.03077867875666,"A"
-9.94,5.25629219436456,"A"
-9.93,4.87420038368066,"A"
-9.92,5.48507798954236,"A"
-9.91,5.2415950677983,"A"
-9.9,6.21763011517988,"A"
-9.89,7.08120702642681,"A"
-9.88,4.91827958818209,"A"
-9.87,6.48641224126013,"A"
-9.86,5.66905076711462,"A"
-9.85,6.00369168128088,"A"
-9.84,4.1199294550345,"A"
-9.83,4.53119058873572,"A"
-9.82,4.06278797244455,"A"
-9.81,5.0307675193323,"A"
-9.8,4.74447188710967,"A"
-9.79,4.46765039631912,"A"
-9.78,3.23585019364122,"A"
-9.77,4.95559293544929,"B"
-9.76,5.76227693582351,"A"
-9.75,5.83249051462681,"A"
-9.74,4.38365848828262,"A"
-9.73,4.07870076867834,"A"
-9.72,4.24331332883681,"A"
-9.71,5.17190276621862,"A"
-9.7,3.32999807622895,"A"
-9.69,3.75173954675936,"A"
-9.68,4.40527278335271,"A"
-9.67,4.55698584309382,"B"
-9.66,3.18608270975621,"A"
-9.65,5.02518668751203,"A"
-9.64,5.3355164168374,"A"
-9.63,5.91231135370491,"B"
-9.62,4.36999926977382,"A"
-9.61,5.31138748067371,"A"
-9.6,5.89691529564957,"A"
-9.59,5.4635782487747,"A"
-9.58,5.5262710780553,"A"
-9.57,3.82610961880035,"A"
-9.56,5.76892254128225,"A"
-9.55,4.37862673861654,"A"
-9.54,4.94127574519344,"A"
-9.53,5.17883825853648,"A"
-9.52,3.67886240230922,"B"
-9.51,3.86919609517402,"A"
-9.5,6.90879698169992,"A"
-9.49,5.16667657370328,"A"
-9.48,4.98561236062038,"A"
-9.47,4.88719321298091,"A"
-9.46,5.58315751357944,"A"
-9.45,4.45822091202583,"A"
-9.44,3.5877828844205,"A"
-9.43,5.16565458779378,"A"
-9.42,6.58123092754877,"A"
-9.41,5.79799699227317,"A"
-9.4,6.24801146005606,"A"
-9.39,4.0282680966951,"A"
-9.38,4.52281842728516,"A"
-9.37,3.58107788961795,"A"
-9.36,4.88477543812599,"A"
-9.35,5.00327306623959,"A"
-9.34,5.86991567540389,"A"
-9.33,4.1513466856553,"A"
-9.32,5.4180194383836,"A"
-9.31,3.80522586213365,"B"
-9.3,4.3809368479691,"A"
-9.29,4.78804945270801,"A"
-9.28,5.48167599544367,"A"
-9.27,5.43358309262316,"A"
-9.26,5.00506153432069,"A"
-9.25,5.38297666227598,"A"
-9.24,4.0810192472067,"B"
-9.23,5.84818580158562,"A"
-9.22,5.32850244440545,"A"
-9.21,5.10032811701975,"A"
-9.2,5.87412422289759,"A"
-9.19,4.99195039832767,"A"
-9.18,4.83882644516979,"A"
-9.17,5.17807756476922,"A"
-9.16,7.10583981168219,"A"
-9.15,5.75408396077108,"A"
-9.14,4.44299972888993,"A"
-9.13,4.18835133835159,"A"
-9.12,4.43595182558892,"A"
-9.11,4.96600263563873,"A"
-9.1,6.42340033876793,"A"
-9.09,3.00930598373017,"A"
-9.08,5.69343556896335,"A"
-9.07,4.39499820265404,"A"
-9.06,5.86426185962159,"A"
-9.05,5.89656392465903,"A"
-9.04,3.33979060939386,"A"
-9.03,5.36295021672923,"B"
-9.02,5.99331573981721,"A"
-9.01,4.89886016578819,"A"
-9,5.61435756792284,"A"
-8.99,4.10663002446859,"A"
-8.98,3.81218550389183,"A"
-8.97,5.28734652984823,"A"
-8.96,3.49056506149359,"A"
-8.95,6.29079571736361,"A"
-8.94,3.3095372188938,"A"
-8.93,3.81788370530194,"A"
-8.92,4.70506671450379,"A"
-8.91,4.66343338955746,"A"
-8.9,6.04551140763604,"A"
-8.89,5.15706441396563,"A"
-8.88,3.17663972812367,"A"
-8.87,3.35428272310422,"A"
-8.86,3.29892131440042,"A"
-8.85,4.53718303423523,"A"
-8.84,4.84176953358554,"B"
-8.83,4.87948140170691,"A"
-8.82,3.33152308775518,"A"
-8.81,4.74767050502003,"A"
-8.8,5.32445985594666,"A"
-8.79,5.7522106201184,"A"
-8.78,6.13616783275392,"A"
-8.77,5.92435030335419,"A"
-8.76,6.99360208505647,"A"
-8.75,3.91781296643139,"A"
-8.74,5.33069886282854,"A"
-8.73,5.13070295899153,"A"
-8.72,4.26179498193093,"A"
-8.71,4.94729302252219,"A"
-8.7,4.00663708430853,"A"
-8.69,4.30029051191629,"A"
-8.68,6.62803188794587,"A"
-8.67,4.13713148516674,"A"
-8.66,6.23908455933923,"A"
-8.65,4.52496272364933,"A"
-8.64,4.51281794075346,"A"
-8.63,4.51516808659211,"A"
-8.62,3.54636912289443,"A"
-8.61,5.44564331924443,"A"
-8.6,4.9201467608055,"A"
-8.59,5.49559101630482,"A"
-8.58,5.29123675059554,"A"
-8.57,4.85170850477727,"B"
-8.56,4.82939763565209,"A"
-8.55,5.10052786570185,"A"
-8.54,3.85234839989718,"A"
-8.53,5.18651450558299,"A"
-8.52,3.89742313444393,"A"
-8.51,4.37788413365475,"A"
-8.5,5.11645670655404,"A"
-8.49,5.82156748412951,"A"
-8.48,4.21834122970602,"A"
-8.47,3.88569371948583,"A"
-8.46,5.3266017952953,"A"
-8.45,4.919070136703,"A"
-8.44,4.80763972827041,"A"
-8.43,5.49944980464326,"B"
-8.42,3.57543003129708,"A"
-8.41,5.43244448896858,"A"
-8.4,5.27345151619181,"A"
-8.39,5.2681071618348,"A"
-8.38,5.00184999673688,"A"
-8.37,5.97942864290797,"A"
-8.36,6.15517012339971,"A"
-8.35,4.98833233169252,"A"
-8.34,5.33088036218275,"A"
-8.33,5.21255858151335,"A"
-8.32,5.83837109692741,"A"
-8.31,3.44457031556296,"A"
-8.3,4.41189962427537,"A"
-8.29,4.33551781740881,"A"
-8.28,5.75579246194049,"A"
-8.27,3.59799553847399,"A"
-8.26,4.51216285314484,"A"
-8.25,4.14008256904608,"A"
-8.24,4.57341474537375,"A"
-8.23,4.14682673201676,"A"
-8.22,5.14641835449484,"A"
-8.21,4.3828330952596,"A"
-8.2,5.54793464017125,"A"
-8.19,4.53766562342376,"A"
-8.18,5.23228240031724,"A"
-8.17,3.99699398856874,"A"
-8.16,4.83369035891192,"A"
-8.15,2.92296835789214,"A"
-8.14,4.62109068994846,"A"
-8.13,4.94672976230325,"A"
-8.12,4.83664205039782,"A"
-8.11,3.80545890987951,"A"
-8.1,4.29683660176117,"A"
-8.09,2.95186539898081,"A"
-8.08,6.17649054617611,"A"
-8.07,4.97695841437015,"A"
-8.06,4.35647931970745,"A"
-8.05,4.96633923189662,"A"
-8.04,3.98725318363596,"A"
-8.03,4.78451108594833,"A"
-8.02,2.77423576611483,"A"
-8.01,4.55720128195738,"A"
-8,5.74261792203251,"A"
-7.99,4.44226444068516,"A"
-7.98,4.17726790709203,"A"
-7.97,4.93257475588053,"A"
-7.96,4.10691980738598,"A"
-7.95,2.81807861260345,"A"
-7.94,5.61240878905769,"A"
-7.93,4.71321210340773,"A"
-7.92,6.71081870331247,"A"
-7.91,3.34989038624802,"A"
-7.9,5.3073390545332,"A"
-7.89,4.61565639025131,"A"
-7.88,3.99258550198155,"A"
-7.87,4.30046236159402,"A"
-7.86,4.59065568840676,"A"
-7.85,4.63078826760912,"A"
-7.84,5.99637460897341,"A"
-7.83,4.93793178260047,"B"
-7.82,4.53692937789296,"A"
-7.81,4.87880107418017,"A"
-7.8,3.260972268451,"A"
-7.79,5.51997335561112,"A"
-7.78,5.24691532635412,"A"
-7.77,4.26394575312549,"A"
-7.76,3.64480687669083,"A"
-7.75,5.09368636036185,"B"
-7.74,3.45484447351049,"A"
-7.73,5.70208197796001,"A"
-7.72,4.2504140659335,"A"
-7.71,3.56986081681857,"A"
-7.7,4.02701517698094,"A"
-7.69,4.64459185044756,"A"
-7.68,4.05419097201535,"B"
-7.67,2.16588718103645,"A"
-7.66,1.24469890198561,"A"
-7.65,5.42666931820046,"A"
-7.64,5.87864201550912,"A"
-7.63,4.66945878388656,"A"
-7.62,4.38524423291908,"A"
-7.61,4.55738974885138,"A"
-7.6,5.43781896515447,"A"
-7.59,4.84804626244801,"A"
-7.58,3.48201561982346,"A"
-7.57,4.47460320806567,"A"
-7.56,5.03867008866993,"A"
-7.55,4.67291124734045,"A"
-7.54,3.70463289196519,"A"
-7.53,5.55240180255653,"A"
-7.52,3.89951047300625,"A"
-7.51,6.0501265762608,"A"
-7.5,4.3182069805315,"A"
-7.49,4.72113810168044,"A"
-7.48,5.5808401686021,"A"
-7.47,4.92612892787884,"A"
-7.46,4.1177850741849,"A"
-7.45,4.4574835063261,"A"
-7.44,5.67049083369307,"A"
-7.43,5.15256608275306,"A"
-7.42,3.90774902333855,"A"
-7.41,5.14283932207218,"A"
-7.4,3.31103252299584,"A"
-7.39,6.22413415390835,"A"
-7.38,4.97666830421458,"A"
-7.37,4.12356134879669,"A"
-7.36,4.69108232309269,"A"
-7.35,3.15486699930824,"A"
-7.34,5.10554556008795,"A"
-7.33,2.80802544414698,"A"
-7.32,3.47904859563498,"A"
-7.31,4.0757231692017,"A"
-7.3,4.76154984823014,"A"
-7.29,4.73550534026077,"A"
-7.28,5.37768021996152,"A"
-7.27,3.1384838767745,"A"
-7.26,4.72962865635624,"A"
-7.25,4.77634269226579,"A"
-7.24,4.91182263164784,"A"
-7.23,4.64244536598205,"A"
-7.22,4.32201913908749,"A"
-7.21,3.44587793026842,"B"
-7.2,5.82956854958861,"A"
-7.19,3.97349118945558,"A"
-7.18,6.90800782573499,"A"
-7.17,5.40379507908248,"A"
-7.16,2.38704310384727,"A"
-7.15,5.60795304580028,"A"
-7.14,3.75661870355328,"A"
-7.13,5.91274082057716,"A"
-7.12,6.13995173387529,"A"
-7.11,3.97236615902724,"A"
-7.1,4.52747241596077,"A"
-7.09,2.6852472616986,"A"
-7.08,3.75434368451371,"A"
-7.07,5.79124713871777,"A"
-7.06,3.10882869755103,"A"
-7.05,3.99452277929719,"A"
-7.04,5.51352796884554,"A"
-7.03,3.82385966550252,"A"
-7.02,2.00299378032835,"A"
-7.01,5.37432170206305,"A"
-7,3.83342967301595,"A"
-6.99,3.63655865446503,"A"
-6.98,4.62034601717356,"A"
-6.97,5.04994149238866,"B"
-6.96,5.50883080305699,"A"
