"x","y"
0.314018346369267,"A"
0.65050587314181,"A"
0.0236290239263326,"A"
0.334210033761337,"A"
0.973684126511216,"A"
0.774189289426431,"A"
0.801254297373816,"A"
0.711891679093242,"A"
0.646830894518644,"A"
0.844965960364789,"A"
0.235132979461923,"A"
0.441914471331984,"A"
0.350477377418429,"A"
0.833928279345855,"A"
0.482429364230484,"A"
0.0777741603087634,"A"
0.675074042286724,"A"
0.983700250042602,"A"
0.728146682027727,"A"
0.703508045757189,"A"
0.291004785336554,"A"
0.608908272814006,"A"
0.826663638232276,"A"
0.645391650497913,"A"
0.477923998609185,"A"
0.791818295605481,"A"
0.121781722875312,"A"
0.171811495907605,"A"
0.0665736591909081,"A"
0.651127150282264,"A"
0.0223045451566577,"A"
0.570567086804658,"A"
0.0673893669154495,"A"
0.501792102120817,"A"
0.268300212919712,"A"
0.450817876495421,"A"
0.2047298704274,"A"
0.277527327183634,"A"
0.899303092621267,"A"
0.116485085804015,"A"
0.846484599867836,"A"
0.864805465564132,"A"
0.372369182761759,"A"
0.00969916325993836,"A"
0.874438181752339,"A"
0.655019611120224,"A"
0.171041999943554,"A"
0.420875873882324,"A"
0.0995528122875839,"A"
0.632264159619808,"A"
0.314672017470002,"A"
0.94910629815422,"A"
0.197137788869441,"A"
0.0288331587798893,"A"
0.643452889518812,"A"
0.0510954654309899,"A"
0.937349980231375,"A"
0.761696921195835,"A"
0.388777794782072,"A"
0.954088111408055,"A"
0.168658551527187,"A"
0.204626175574958,"A"
0.44361267844215,"A"
0.124074805993587,"A"
0.279926458606496,"A"
0.641380227170885,"A"
0.355521228862926,"A"
0.624397684587166,"A"
0.407628217246383,"A"
0.69068307406269,"A"
0.331510729854926,"A"
0.839932130184025,"A"
0.777616207720712,"A"
0.725955870002508,"A"
0.0433847045060247,"A"
0.0220297204796225,"A"
0.424707940081134,"A"
0.502710498403758,"A"
0.110132029978558,"A"
0.94965656590648,"A"
0.192258032271639,"A"
0.975499546155334,"A"
0.429929952370003,"A"
0.607504085404798,"A"
0.395291697466746,"A"
0.818816232262179,"A"
0.0068657707888633,"A"
0.188508464954793,"A"
0.687137310160324,"A"
0.784656580071896,"A"
0.716442246455699,"A"
0.878951574675739,"A"
0.729566479800269,"A"
0.266110842349008,"A"
0.945732932770625,"A"
0.650697594741359,"A"
0.777684907894582,"A"
0.76704317657277,"A"
0.342473349533975,"A"
0.821662957547233,"A"
0.630357484798878,"A"
0.880219970364124,"A"
0.733696873532608,"A"
0.146461643045768,"A"
0.0137629879172891,"A"
0.61126119364053,"A"
0.467912755440921,"A"
0.415372639195994,"A"
0.240371517138556,"A"
0.723495218437165,"A"
0.341687235981226,"A"
0.981462259311229,"A"
0.501577354967594,"A"
0.0539315515197814,"A"
0.207988508278504,"A"
0.745204385602847,"A"
0.16718851774931,"A"
0.542381143895909,"A"
0.87011511833407,"A"
0.853057259926572,"A"
0.885498773772269,"A"
0.343650958500803,"A"
0.322791382670403,"A"
0.964039205340669,"A"
0.625488273799419,"A"
0.110934933647513,"A"
0.925602085888386,"A"
0.516865292564034,"A"
0.772881952812895,"B"
0.395263379672542,"A"
0.0332188319880515,"A"
0.54969133483246,"A"
0.693760932190344,"A"
0.749878119677305,"A"
0.294092378811911,"A"
0.519190330291167,"A"
0.791146296076477,"A"
0.25511510623619,"A"
0.229171862592921,"A"
0.915899428538978,"A"
0.392940093530342,"A"
0.192761921091005,"A"
0.712378358468413,"A"
0.909902485087514,"A"
0.603847588645294,"A"
0.32976480317302,"A"
0.0674431961961091,"A"
0.933535183779895,"A"
0.416874177055433,"A"
0.0743286893703043,"A"
0.00350409327074885,"A"
0.747428763890639,"A"
0.674990123603493,"A"
0.328489773441106,"A"
0.665003826608881,"A"
0.172853152966127,"A"
